"","3.05","8.05","12.05","7.01","13.05","14.05","8.01","10.01","11.01","19.05","sum","group"
"LC10",0.0212314225053079,0.0636942675159236,0,0,0,0,0,0,0,0,0.0849256900212314,0
"LC11",0.127388535031847,0.29723991507431,0.360934182590234,0.106157112526539,0.0424628450106157,0.0424628450106157,0.0212314225053079,0,0,0,0.997876857749469,0
"LC12",0,0,0.106157112526539,0,0,0,0,0.0212314225053079,0,0,0.127388535031847,0
"W12",0.318471337579618,0.233545647558386,3.22717622080679,0.0636942675159236,0.106157112526539,0.148619957537155,0.0212314225053079,0.212314225053079,1.06157112526539,0,5.3927813163482,0
"W4",0,0.0424628450106157,0.276008492569002,0.0424628450106157,0.0424628450106157,0,0.0212314225053079,0,0.0212314225053079,0,0.445859872611465,0
"W5",0.0636942675159236,6.58174097664544,0.89171974522293,0,0.0849256900212314,0.169851380042463,0.0636942675159236,0.0212314225053079,0.934182590233546,0.212314225053079,9.02335456475584,0
"LC18",0,0.212314225053079,0.191082802547771,0.0212314225053079,0.0424628450106157,0.0424628450106157,0,0,0.0424628450106157,0,0.552016985138004,0
"LC21",0,0.169851380042463,8.85350318471338,0.254777070063694,1.38004246284501,0.0636942675159236,0.0212314225053079,0,0.148619957537155,0.0212314225053079,10.9129511677282,0
"LC27",0.0424628450106157,0.254777070063694,0.89171974522293,0.0849256900212314,0.0212314225053079,0.0212314225053079,0,0,0.509554140127389,0,1.82590233545648,0
"RT07",0,0.0424628450106157,0.0424628450106157,0,0,0,0,0,0,0,0.0849256900212314,0
"RT14",0,0.169851380042463,14.140127388535,0.89171974522293,0.552016985138004,0.0212314225053079,0,0.106157112526539,4.6072186836518,0.509554140127389,20.9978768577495,1
"K01",0.382165605095541,4.77707006369427,7.04883227176221,0.0424628450106157,0.0849256900212314,0.488322717622081,0.106157112526539,0,2.08067940552017,1.23142250530786,16.2420382165605,1
"LC25",0.382165605095541,3.39702760084926,2.4416135881104,0.106157112526539,0.169851380042463,0.934182590233546,0.233545647558386,0.254777070063694,0.360934182590234,0.0424628450106157,8.32271762208068,0
"LC26",4.3099787685775,1.04033970276008,8.28025477707006,0.467091295116773,0.169851380042463,0.148619957537155,0.0849256900212314,0.191082802547771,2.63269639065817,1.06157112526539,18.3864118895966,1
"RT15",0.0212314225053079,0.700636942675159,0.148619957537155,0.0424628450106157,0.0212314225053079,0.212314225053079,0.0636942675159236,0,0.0212314225053079,0,1.23142250530786,0
"W11",0.339702760084926,3.58811040339703,12.4628450106157,0.106157112526539,0.254777070063694,0.382165605095541,0.0636942675159236,0.169851380042463,2.33545647558386,0,19.7027600849257,1
"W14",0.212314225053079,2.48407643312102,0.382165605095541,0.0212314225053079,0.0636942675159236,0.0849256900212314,0.0424628450106157,0,0.169851380042463,0.0212314225053079,3.48195329087049,0
"W15",0.0636942675159236,0.29723991507431,0.106157112526539,0,0,0.233545647558386,0.0636942675159236,0,0.106157112526539,0,0.870488322717622,0
"LC02",0,0.0424628450106157,0,0,0.0424628450106157,0,0,0.0212314225053079,0,0,0.106157112526539,0
"LC03",0.0636942675159236,0.0849256900212314,0.0849256900212314,0.0424628450106157,0.0636942675159236,0.0212314225053079,0,0,0,0,0.360934182590234,0
"LC04",0,0.0636942675159236,26.411889596603,0.29723991507431,0.382165605095541,0.276008492569002,0,1.86836518046709,0.764331210191083,2.35668789808917,32.4203821656051,1
"LC06",0.573248407643312,0.997876857749469,39.4267515923567,0.148619957537155,0.0636942675159236,0.424628450106157,0.0849256900212314,0,19.6815286624204,0.106157112526539,61.5074309978769,1
"LC08",0.127388535031847,0.0424628450106157,0,0.0636942675159236,0.0212314225053079,0.0636942675159236,0,0,0,0,0.318471337579618,0
"LC09",0.445859872611465,0.254777070063694,0.0424628450106157,0.0424628450106157,0.0212314225053079,0,0,0,0.0424628450106157,0,0.849256900212314,0
"LC22",0,0.29723991507431,2.35668789808917,0.0212314225053079,0.0212314225053079,0.0636942675159236,0.0212314225053079,0,0.424628450106157,1.16772823779193,4.37367303609342,0
"RT01",0,0.700636942675159,0.191082802547771,0,0,0.0636942675159236,0,0,0.0849256900212314,0,1.04033970276008,0
"RT10",0,0.0212314225053079,0.106157112526539,0.0212314225053079,0,0.0636942675159236,0,0,0.169851380042463,0,0.382165605095541,0
"W2",0.0212314225053079,0.488322717622081,22.7813163481953,0.382165605095541,0.573248407643312,0.106157112526539,0,0.403397027600849,0.509554140127389,0.0424628450106157,25.307855626327,1
